scenario,controller,iteration,time_s,start_normalized_percent,target_normalized_percent,measurement_normalized_percent,error_normalized_percent,effort_normalized_percent_per_s,kp,ki,kd
P_0_100,P,49,0.980000,0.000000,100.000000,81.229338,18.770662,37.541325,2.000000,0.000000,0.000000
P_0_100,P,50,1.000000,0.000000,100.000000,81.980164,18.019836,36.039672,2.000000,0.000000,0.000000
P_0_100,P,51,1.020000,0.000000,100.000000,82.700958,17.299042,34.598085,2.000000,0.000000,0.000000
P_0_100,P,52,1.040000,0.000000,100.000000,83.392919,16.607081,33.214161,2.000000,0.000000,0.000000
P_0_100,P,53,1.060000,0.000000,100.000000,84.057203,15.942797,31.885595,2.000000,0.000000,0.000000
P_0_100,P,54,1.080000,0.000000,100.000000,84.694914,15.305086,30.610171,2.000000,0.000000,0.000000
P_0_100,P,55,1.100000,0.000000,100.000000,85.307118,14.692882,29.385764,2.000000,0.000000,0.000000
P_0_100,P,56,1.120000,0.000000,100.000000,85.894833,14.105167,28.210334,2.000000,0.000000,0.000000
P_0_100,P,57,1.140000,0.000000,100.000000,86.459040,13.540960,27.081920,2.000000,0.000000,0.000000
P_0_100,P,58,1.160000,0.000000,100.000000,87.000678,12.999322,25.998644,2.000000,0.000000,0.000000
P_0_100,P,59,1.180000,0.000000,100.000000,87.520651,12.479349,24.958698,2.000000,0.000000,0.000000
P_0_100,P,60,1.200000,0.000000,100.000000,88.019825,11.980175,23.960350,2.000000,0.000000,0.000000
P_0_100,P,61,1.220000,0.000000,100.000000,88.499032,11.500968,23.001936,2.000000,0.000000,0.000000
P_0_100,P,62,1.240000,0.000000,100.000000,88.959071,11.040929,22.081858,2.000000,0.000000,0.000000
P_0_100,P,63,1.260000,0.000000,100.000000,89.400708,10.599292,21.198584,2.000000,0.000000,0.000000
P_0_100,P,64,1.280000,0.000000,100.000000,89.824680,10.175320,20.350641,2.000000,0.000000,0.000000
P_0_100,P,65,1.300000,0.000000,100.000000,90.231692,9.768308,19.536615,2.000000,0.000000,0.000000
P_0_100,P,66,1.320000,0.000000,100.000000,90.622425,9.377575,18.755151,2.000000,0.000000,0.000000
P_0_100,P,67,1.340000,0.000000,100.000000,90.997528,9.002472,18.004945,2.000000,0.000000,0.000000
P_0_100,P,68,1.360000,0.000000,100.000000,91.357627,8.642373,17.284747,2.000000,0.000000,0.000000
P_0_100,P,69,1.380000,0.000000,100.000000,91.703322,8.296678,16.593357,2.000000,0.000000,0.000000
P_0_100,P,70,1.400000,0.000000,100.000000,92.035189,7.964811,15.929623,2.000000,0.000000,0.000000
P_0_100,P,71,1.420000,0.000000,100.000000,92.353781,7.646219,15.292438,2.000000,0.000000,0.000000
P_0_100,P,72,1.440000,0.000000,100.000000,92.659630,7.340370,14.680740,2.000000,0.000000,0.000000
P_0_100,P,73,1.460000,0.000000,100.000000,92.953245,7.046755,14.093511,2.000000,0.000000,0.000000
P_0_100,P,74,1.480000,0.000000,100.000000,93.235115,6.764885,13.529770,2.000000,0.000000,0.000000
P_0_100,P,75,1.500000,0.000000,100.000000,93.505710,6.494290,12.988579,2.000000,0.000000,0.000000
P_0_100,P,76,1.520000,0.000000,100.000000,93.765482,6.234518,12.469036,2.000000,0.000000,0.000000
P_0_100,P,77,1.540000,0.000000,100.000000,94.014863,5.985137,11.970275,2.000000,0.000000,0.000000
P_0_100,P,78,1.560000,0.000000,100.000000,94.254268,5.745732,11.491464,2.000000,0.000000,0.000000
P_0_100,P,79,1.580000,0.000000,100.000000,94.484097,5.515903,11.031805,2.000000,0.000000,0.000000
P_0_100,P,80,1.600000,0.000000,100.000000,94.704734,5.295266,10.590533,2.000000,0.000000,0.000000
P_0_100,P,81,1.620000,0.000000,100.000000,94.916544,5.083456,10.166912,2.000000,0.000000,0.000000
P_0_100,P,82,1.640000,0.000000,100.000000,95.119882,4.880118,9.760235,2.000000,0.000000,0.000000
P_0_100,P,83,1.660000,0.000000,100.000000,95.315087,4.684913,9.369826,2.000000,0.000000,0.000000
P_0_100,P,84,1.680000,0.000000,100.000000,95.502484,4.497516,8.995033,2.000000,0.000000,0.000000
P_0_100,P,85,1.700000,0.000000,100.000000,95.682384,4.317616,8.635231,2.000000,0.000000,0.000000
P_0_100,P,86,1.720000,0.000000,100.000000,95.855089,4.144911,8.289822,2.000000,0.000000,0.000000
P_0_100,P,87,1.740000,0.000000,100.000000,96.020885,3.979115,7.958229,2.000000,0.000000,0.000000
P_0_100,P,88,1.760000,0.000000,100.000000,96.180050,3.819950,7.639900,2.000000,0.000000,0.000000
P_0_100,P,89,1.780000,0.000000,100.000000,96.332848,3.667152,7.334304,2.000000,0.000000,0.000000
P_0_100,P,90,1.800000,0.000000,100.000000,96.479534,3.520466,7.040932,2.000000,0.000000,0.000000
P_0_100,P,91,1.820000,0.000000,100.000000,96.620353,3.379647,6.759295,2.000000,0.000000,0.000000
P_0_100,P,92,1.840000,0.000000,100.000000,96.755539,3.244461,6.488923,2.000000,0.000000,0.000000
P_0_100,P,93,1.860000,0.000000,100.000000,96.885317,3.114683,6.229366,2.000000,0.000000,0.000000
P_0_100,P,94,1.880000,0.000000,100.000000,97.009904,2.990096,5.980191,2.000000,0.000000,0.000000
P_0_100,P,95,1.900000,0.000000,100.000000,97.129508,2.870492,5.740984,2.000000,0.000000,0.000000
P_0_100,P,96,1.920000,0.000000,100.000000,97.244328,2.755672,5.511344,2.000000,0.000000,0.000000
P_0_100,P,97,1.940000,0.000000,100.000000,97.354555,2.645445,5.290891,2.000000,0.000000,0.000000
P_0_100,P,98,1.960000,0.000000,100.000000,97.460373,2.539627,5.079255,2.000000,0.000000,0.000000
P_0_100,P,99,1.980000,0.000000,100.000000,97.561958,2.438042,4.876085,2.000000,0.000000,0.000000
P_0_100,P,100,2.000000,0.000000,100.000000,97.659479,2.340521,4.681041,2.000000,0.000000,0.000000
P_0_100,P,101,2.020000,0.000000,100.000000,97.753100,2.246900,4.493800,2.000000,0.000000,0.000000
P_0_100,P,102,2.040000,0.000000,100.000000,97.842976,2.157024,4.314048,2.000000,0.000000,0.000000
P_0_100,P,103,2.060000,0.000000,100.000000,97.929257,2.070743,4.141486,2.000000,0.000000,0.000000
PI_0_100,PI,0,0.000000,0.000000,100.000000,0.000000,100.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,1,0.020000,0.000000,100.000000,2.000000,98.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,2,0.040000,0.000000,100.000000,4.000000,96.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,3,0.060000,0.000000,100.000000,6.000000,94.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,4,0.080000,0.000000,100.000000,8.000000,92.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,5,0.100000,0.000000,100.000000,10.000000,90.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,6,0.120000,0.000000,100.000000,12.000000,88.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,7,0.140000,0.000000,100.000000,14.000000,86.000000,100.000000,2.000000,0.100000,0.000000
